Player,Position,Team,Salary
Scott Wood,SG,Golden State Warriors,0.543471
E.J. Singler,SF,Toronto Raptors,0.543471
Drew Crawford,SG,Toronto Raptors,0.543471
Brady Heslip,SG,Toronto Raptors,0.543471
Rasheed Sulaimon,SG,Charlotte Hornets,0.543471
Andrew Andrews,PG,Charlotte Hornets,0.543471
Ryan Richards,PF,San Antonio Spurs,0.543471
J.P. Tokoto,SG,New York Knicks,0.543471
Maurice Ndour,SF,New York Knicks,0.543471
Isaiah Cousins,PG,Sacramento Kings,0.543471
Jonathan Holmes,PF,Boston Celtics,0.543471
Richard Solomon,PF,Atlanta Hawks,0.543471
Marco Belinelli,SG,Philadelphia 76ers,0.490461
Brandan Wright,PF,Memphis Grizzlies,0.490461
Joe Johnson,SG,Utah Jazz,0.473835
Toney Douglas,PG,Memphis Grizzlies,0.379159
C.J. Williams,SF,LA Clippers,0.375
Derrick Rose,PG,Minnesota Timberwolves,0.290951
Lamar Patterson,SG,Atlanta Hawks,0.246956
Wade Baldwin IV,PG,Portland Trail Blazers,0.229892
Ramon Sessions,PG,Washington Wizards,0.224448
Troy Williams,SF,New York Knicks,0.222476
Larry Sanders,PF,Cleveland Cavaliers,0.207722
Georgios Papagiannis,C,Sacramento Kings,0.185397
Shaquille Harrison,PG,Phoenix Suns,0.175
Travis Wear,SF,Los Angeles Lakers,0.148318
Brandon Jennings,PG,Milwaukee Bucks,0.142812
Antonius Cleveland,SG,Dallas Mavericks,0.133632
Ray McCallum,PG,Charlotte Hornets,0.121112
Manny Harris,PG,Dallas Mavericks,0.115344
Jaylen Morris,SG,Atlanta Hawks,0.101376
Tim Quarterman,PG,Houston Rockets,0.096406
Aaron Harrison,SG,Dallas Mavericks,0.091442
Marquis Teague,PG,Memphis Grizzlies,0.074186
Rodney Purvis,SG,Orlando Magic,0.06912
Mike Tobey,C,Charlotte Hornets,0.067135
MarShon Brooks,SG,Memphis Grizzlies,0.060283
Jordan Crawford,SG,New Orleans Pelicans,0.05819
Justin Harper,PF,Philadelphia 76ers,0.057672
Alonzo Gee,SF,Denver Nuggets,0.057672
Jarell Eddie,SG,Chicago Bulls,0.057672
Nigel Hayes,SF,Toronto Raptors,0.055296
Damion Lee,SG,Atlanta Hawks,0.04608
David Stockton,PG,Utah Jazz,0.044495
Jonathan Gibson,PG,Boston Celtics,0.044495
Okaro White,PF,Miami Heat,0.037049
Pierre Jackson,PG,Dallas Mavericks,0.031969
Lorenzo Brown,PG,Toronto Raptors,0.016626
Quinn Cook,PG,Golden State Warriors,0.014832
